Name,X_Position,Y_Position,URL ,Time_Delay
Bank,1022,954,http://www.neopets.com/bank.phtml,-1
Omelette,1020,746,http://www.neopets.com/prehistoric/omelette.phtml,-1
Shop of Offers,1786,706,http://www.neopets.com/shop_of_offers.phtml?slorg_payout=yes,-1
Trudy's Surprise,867,767,http://www.neopets.com/trudys_surprise.phtml,-1
Once a Month,1786,706,http://www.neopets.com/freebies/index.phtml,-1
Apple Bobbing,1159,591,http://www.neopets.com/halloween/applebobbing.phtml?,-1
Anchor Management,933,778,http://www.neopets.com/pirates/anchormanagement.phtml,-1
Tombola,941,614,http://www.neopets.com/island/tombola.phtml,-1
Fruit Machine,1011,799,http://www.neopets.com/desert/fruit/index.phtml,-1
Coltzan's Shrine,913,712,http://www.neopets.com/desert/shrine.phtml,12
TDMBGPOP,1055,585,http://www.neopets.com/faerieland/tdmbgpop.phtml,-1
Healing Springs,1064,823,http://www.neopets.com/faerieland/springs.phtml,0.5
Snow Scratchcard Kiosk,963,612,http://www.neopets.com/winter/kiosk.phtml,6
Underwater Fishing,956,807,http://www.neopets.com/water/fishing.phtml,12
